Fromages	calories	sodium	calcium	lipides	retinol	folates	proteines	cholesterol	magnesium
CarredelEst	0.1546299664841701	1.3429677341115425	-1.587464397476829	0.2680662560884462	-0.6722898498142433	1.5009111894418705	0.12151867726604346	-0.16524199998527217	-0.6263091689394109
Babybel	0.1546299664841701	0.2613927340137759	0.33767911335276285	0.11784555219347212	-0.16266248256469043	-0.5738425907778351	0.35547994801892385	-0.16524199998527217	0.0031005404402941797
Beaufort	1.1179173873225932	-0.9185072660928786	1.0336493621657927	1.1443536954757951	-0.5333005678370927	-1.0252534550934196	0.9403831249011242	1.6362685261699486	1.2619199591997043
Bleu	0.4646535042252718	1.1790927340967294	0.35592026906762025	0.59354444786089	-1.2830003312289966	1.257843800964248	0.004538041889603272	0.5553622104768161	0.0031005404402941797
Camembert	-0.39898349376779724	0.9730784483638215	0.4232722286301717	-0.5831843993164075	1.4925735118904686	2.0304508571966906	0.4724605833953635	-0.5255441052163163	-0.6263091689394109
Cantal	0.7414602343512554	0.4299498768861551	1.0981949900799046	0.5810260558696424	-0.7902201496736442	-0.6346094378972407	0.4139702657071437	0.5553622104768161	0.27284755874588207
Chabichou	0.4867980426353505	-0.16936440888230433	-1.3826021871407355	0.4683605279484115	0.9492517732525153	2.0217698790367753	-0.09782001406478169	0.19506010524577197	0.8123415953570577
Chaource	-0.08895995602669553	0.6172355911887987	-0.7413554054722781	0.1554007281672153	2.056954232646172	1.6918927089600024	-0.34640386423971675	-0.16524199998527217	-0.1767308050967644
Cheddar	1.1732787333477899	-0.3566501231849479	-0.048191488307687366	1.0442065595458128	0.37223566322616264	-0.7040572631765614	0.8526476483687939	1.2759664209389043	0.09301621320882347
Comte	1.0957728489125145	-1.1057929803955222	0.48781785654428333	1.0316881675545646	-0.49118260360159244	-1.0165724769335043	1.320570189874554	1.6362685261699486	2.1610766868849973
Coulomniers	0.08819635125393402	0.11156416257166103	-1.494855453078321	0.18043751214971135	-0.1668742789882405	0.7022611987296827	0.04840578015576841	0.19506010524577197	-1.255718878319116
Edam	0.2985694661496816	-0.5813929803481201	1.2132545876659295	0.06777198422848046	-0.07842655409368997	-0.6519713942170708	0.6625541158820787	0.19506010524577197	1.531666977505292
Emmental	0.8632551956066883	-1.4054501232797518	1.7183942843850644	0.6561364078171292	-0.4743354179073924	-0.9210817171744384	1.3498153487186642	1.2759664209389043	1.6215826502738213
Fr.chevrepatemolle	-1.0411751076600793	-0.46902155176653404	-1.5846580658283893	-0.708368319228886	3.4931768130767296	1.5616780365612761	-1.3261166855174027	-0.8858462104473604	-0.985971860013528
Fr.fondu.45	-0.08895995602669553	1.684764162713867	-0.24182837205002256	-0.019856759710254385	0.4143536274616629	-0.6519713942170708	-0.49262965846026685	-0.16524199998527217	-0.6263091689394109
Fr.frais20nat.	-2.436281027495037	-1.5833715518672633	-0.5533311850268222	-2.586127117916063	-0.7396785925910437	0.6067704389706167	-1.7355489093349428	-2.3270546313715372	-1.4355502238561744
Fr.frais40nat.	-2.04875160531866	-1.7332001233093781	-1.2759615845000292	-2.047836262292406	-0.13739170402339054	0.8324758711284089	-1.925642441821658	-1.6064504209094488	-1.5254658966247037
Maroilles	0.4203644274051144	0.944985591218425	0.7151307200678939	0.618581231843386	-0.8786678745681944	-0.8169099792554575	0.03378320073371319	0.5553622104768161	1.172004286431175
Morbier	0.5200148502504686	0.7015141626249883	0.4667703691809861	0.6686547998083773	-0.4195820644012419	-0.6259284597373256	0.501705742239474	0.19506010524577197	0.27284755874588207
Parmesan	0.8964720032218063	0.28012130544404024	2.088830061979097	0.4182869599834203	0.9450399768289656	-0.6780143286968161	2.2710378523081305	0.19506010524577197	1.7114983230423506
Petitsuisse40	-1.7498003367825976	-1.7612929804547748	-1.5088871113205191	-1.7223580705199617	-0.17529787183534068	0.6414943516102768	-1.5747005356923376	-1.966752526140493	-1.5254658966247037
PontlEveque	-0.00038180238638075393	0.12092844828679322	-0.40740193930796137	-0.09496711165774165	-0.6133246998845431	-0.7821860666157971	0.13614125668809868	-0.16524199998527217	-0.44647782340235226
Pyrenees	0.6085930038907833	0.20520701972298283	-0.0958991263311613	0.48087891993965953	-0.6765016462377934	-0.5391186781381747	0.3262347891748134	0.5553622104768161	-0.1767308050967644
Reblochon	0.09926862045897336	0.57977844832827	0.23244167653627643	0.055253592237232876	0.2332463812490114	-0.42626596205927864	-0.06857485522067178	0.19506010524577197	0.27284755874588207
Rocquefort	0.7746770419663735	2.0780641627494187	-0.3330341506243108	0.8814674636595905	0.6712732092982141	0.02514490225630593	-0.21480064944122187	0.9156643157078603	-0.1767308050967644
SaintPaulin	-0.022526340796459446	-0.047628694585585996	1.05610001535331	-0.10748550364898923	-0.3016517645418414	-0.5477996562980898	0.4578380039733088	-0.16524199998527217	-0.08681513232823511
Tome	0.23213585091944552	0.3924927340256264	-0.8451896764645447	0.39325017600092466	-0.221627632494391	-0.5912045470976652	0.23849931264248364	0.19506010524577197	-0.6263091689394109
Vacherin	0.23213585091944552	-0.6563072660691777	0.45273871093878787	0.6436180158258816	-0.7733729639794438	-0.8082290010955424	-0.3756490230838267	0.19506010524577197	0.27284755874588207
Yaourtlaitent.nat.	-2.5470037195454305	-1.1151572661106544	0.42046589698173187	-2.5986455099073114	-1.0387161386630954	-0.877676826374863	-2.3496972450612534	-2.2189639998022237	-1.1658032055505867
